xmin,ymin,xmax,ymax,Frame,Label,Preview URL
552,310,632,409,1053.jpg,Weapon,
324,96,389,139,1735.jpg,Weapon,
154,40,563,238,Sniper_99.jpg,Weapon,
40,596,2371,1196,Automatic Rifle_5.jpg,Weapon,
981,416,1068,483,2228.jpg,Weapon,
784,403,894,457,2228.jpg,Weapon,
1,1,158,113,1721.jpg,Weapon,
628,455,764,715,1047.jpg,Weapon,
9,36,539,224,SMG_68.jpg,Weapon,
153,92,498,342,Handgun_91.jpg,Weapon,
36,174,707,504,2566.jpg,Weapon,
521,373,2007,1260,SMG_40.jpg,Weapon,
73,7,1957,1161,2200.jpg,Weapon,
3,3,157,113,1709.jpg,Weapon,
307,103,360,137,289.jpg,Weapon,
328,126,369,150,289.jpg,Weapon,
368,95,428,126,289.jpg,Weapon,
385,117,447,144,289.jpg,Weapon,
397,137,444,169,289.jpg,Weapon,
413,157,466,187,289.jpg,Weapon,
12,234,1252,514,Bazooka_33.jpg,Weapon,
96,402,168,496,2214.jpg,Weapon,
38,6,1500,1042,Handgun_85.jpg,Weapon,
743,341,3349,2125,2572.jpg,Weapon,
287,136,790,400,SMG_54.jpg,Weapon,
92,63,417,315,504.jpg,Weapon,
22,194,87,269,1090.jpg,Weapon,
81,53,152,203,2599.jpg,Weapon,
1,4,498,317,262.jpg,Weapon,
90,132,282,253,276.jpg,Weapon,
11,1,446,260,1084.jpg,Weapon,
88,196,180,271,510.jpg,Weapon,
7,57,484,325,538.jpg,Weapon,
2,1,157,116,1912.jpg,Weapon,
13,159,853,796,Sniper_66.jpg,Weapon,
2,2,155,115,1906.jpg,Weapon,
23,28,1258,619,SMG_97.jpg,Weapon,
3,14,279,227,Handgun_46.jpg,Weapon,
95,44,366,281,Handgun_46.jpg,Weapon,
209,100,483,377,Handgun_46.jpg,Weapon,
405,206,597,458,Handgun_46.jpg,Weapon,
3,3,154,118,1537.jpg,Weapon,
190,82,477,304,1251.jpg,Weapon,
3,29,294,188,2758.jpg,Weapon,
5,5,284,159,2980.jpg,Weapon,
7,3,257,194,2994.jpg,Weapon,
23,174,223,471,909.jpg,Weapon,
260,355,552,666,909.jpg,Weapon,
48,52,100,83,1245.jpg,Weapon,
3,2,157,115,1523.jpg,Weapon,
173,172,205,342,2002.jpg,Weapon,
44,19,259,99,2764.jpg,Weapon,
132,84,219,131,921.jpg,Weapon,
372,179,486,278,935.jpg,Weapon,
64,108,192,215,1279.jpg,Weapon,
5,44,290,182,2770.jpg,Weapon,
151,71,218,127,2016.jpg,Weapon,
420,356,490,409,2016.jpg,Weapon,
493,82,540,132,2016.jpg,Weapon,
108,98,1143,290,Shotgun_10.jpg,Weapon,
81,43,107,98,2943.jpg,Weapon,
223,190,247,228,1292.jpg,Weapon,
70,157,315,382,706.jpg,Weapon,
141,27,400,197,706.jpg,Weapon,
16,26,474,343,712.jpg,Weapon,
80,24,110,96,1286.jpg,Weapon,
21,37,420,290,2957.jpg,Weapon,
15,14,209,704,Sword_17.jpg,Weapon,
215,14,304,695,Sword_17.jpg,Weapon,
323,13,470,702,Sword_17.jpg,Weapon,
474,14,615,721,Sword_17.jpg,Weapon,
606,0,718,712,Sword_17.jpg,Weapon,
6,1,154,115,1443.jpg,Weapon,
66,55,112,173,29.jpg,Weapon,
1,3,157,116,1325.jpg,Weapon,
40,39,217,99,869.jpg,Weapon,
132,37,415,214,2638.jpg,Weapon,
487,121,635,336,2638.jpg,Weapon,
3,3,154,115,1331.jpg,Weapon,
5,2,157,116,1457.jpg,Weapon,
25,24,734,477,2176.jpg,Weapon,
22,15,1211,768,2610.jpg,Weapon,
56,21,117,86,15.jpg,Weapon,
2,1,158,114,1319.jpg,Weapon,
28,43,336,243,855.jpg,Weapon,
207,115,254,159,699.jpg,Weapon,
23,55,486,281,841.jpg,Weapon,
80,136,640,481,2604.jpg,Weapon,
31,9,1018,809,2162.jpg,Weapon,
442,688,585,799,1480.jpg,Weapon,
239,51,1027,667,114.jpg,Weapon,
6,53,147,150,2189.jpg,Weapon,
29,57,115,159,2837.jpg,Weapon,
53,47,231,456,672.jpg,Weapon,
1,97,499,375,666.jpg,Weapon,
1,0,500,209,666.jpg,Weapon,
91,121,144,258,2823.jpg,Weapon,
783,633,2056,1147,100.jpg,Weapon,
2,1,157,118,1494.jpg,Weapon,
389,72,502,269,128.jpg,Weapon,
513,190,571,249,896.jpg,Weapon,
80,121,1315,1001,882.jpg,Weapon,
45,98,687,494,1127.jpg,Weapon,
4,3,158,112,1641.jpg,Weapon,
2,2,157,116,1899.jpg,Weapon,
231,107,711,835,2348.jpg,Weapon,
4,3,157,115,1655.jpg,Weapon,
92,213,454,456,Grenade Launcher_48.jpg,Weapon,
1,2,226,165,1133.jpg,Weapon,
334,8,534,147,1133.jpg,Weapon,
339,333,1973,1460,Grenade Launcher_60.jpg,Weapon,
351,106,821,329,2412.jpg,Weapon,
137,530,226,643,2374.jpg,Weapon,
10,4,371,253,1669.jpg,Weapon,
293,443,378,623,2360.jpg,Weapon,
351,139,596,682,2406.jpg,Weapon,
116,78,1131,664,Grenade Launcher_74.jpg,Weapon,
196,169,339,246,470.jpg,Weapon,
171,69,277,234,316.jpg,Weapon,
1,1,155,113,1682.jpg,Weapon,
11,1,895,346,Automatic Rifle_18.jpg,Weapon,
7,0,148,110,1696.jpg,Weapon,
143,68,191,107,302.jpg,Weapon,
13,153,408,214,Knife_74.jpg,Weapon,
21,67,438,276,464.jpg,Weapon,
1,1,156,116,1866.jpg,Weapon,
30,141,233,370,Knife_48.jpg,Weapon,
75,29,402,359,Knife_48.jpg,Weapon,
1,1,157,118,1872.jpg,Weapon,
53,96,739,285,Automatic Rifle_24.jpg,Weapon,
69,315,741,500,Automatic Rifle_24.jpg,Weapon,
182,130,263,191,458.jpg,Weapon,
73,207,480,320,Automatic Rifle_25.jpg,Weapon,
3,139,39,196,Automatic Rifle_25.jpg,Weapon,
226,122,265,179,Automatic Rifle_25.jpg,Weapon,
268,96,313,160,Automatic Rifle_25.jpg,Weapon,
2,1,155,116,1873.jpg,Weapon,
430,101,567,338,Knife_49.jpg,Weapon,
348,26,457,340,Knife_49.jpg,Weapon,
233,13,375,340,Knife_49.jpg,Weapon,
102,9,264,347,Knife_49.jpg,Weapon,
60,19,430,375,459.jpg,Weapon,
1,1,157,119,1867.jpg,Weapon,
49,181,354,373,303.jpg,Weapon,
16,33,154,112,1697.jpg,Weapon,
334,146,384,227,465.jpg,Weapon,
22,153,233,246,471.jpg,Weapon,
265,136,478,247,471.jpg,Weapon,
6,1,157,113,1683.jpg,Weapon,
30,141,239,230,317.jpg,Weapon,
18,100,998,442,Knife_61.jpg,Weapon,
309,212,509,562,2361.jpg,Weapon,
243,80,293,111,1668.jpg,Weapon,
171,78,498,581,2407.jpg,Weapon,
303,123,803,853,2413.jpg,Weapon,
0,1,1097,326,Grenade Launcher_61.jpg,Weapon,
391,610,647,823,2375.jpg,Weapon,
2,3,157,116,1654.jpg,Weapon,
226,660,603,1451,1132.jpg,Weapon,
242,37,739,430,Grenade Launcher_49.jpg,Weapon,
42,113,108,263,1126.jpg,Weapon,
440,143,852,450,2349.jpg,Weapon,
