xmin,ymin,xmax,ymax,Frame,Label,Preview URL
552,310,632,409,1053,Weapon,
324,96,389,139,1735,Weapon,
154,40,563,238,Sniper_99,Weapon,
40,596,2371,1196,Automatic Rifle_5,Weapon,
981,416,1068,483,2228,Weapon,
784,403,894,457,2228,Weapon,
1,1,158,113,1721,Weapon,
628,455,764,715,1047,Weapon,
9,36,539,224,SMG_68,Weapon,
153,92,498,342,Handgun_91,Weapon,
36,174,707,504,2566,Weapon,
521,373,2007,1260,SMG_40,Weapon,
73,7,1957,1161,2200,Weapon,
3,3,157,113,1709,Weapon,
307,103,360,137,289,Weapon,
328,126,369,150,289,Weapon,
368,95,428,126,289,Weapon,
385,117,447,144,289,Weapon,
397,137,444,169,289,Weapon,
413,157,466,187,289,Weapon,
12,234,1252,514,Bazooka_33,Weapon,
96,402,168,496,2214,Weapon,
38,6,1500,1042,Handgun_85,Weapon,
743,341,3349,2125,2572,Weapon,
287,136,790,400,SMG_54,Weapon,
92,63,417,315,504,Weapon,
22,194,87,269,1090,Weapon,
81,53,152,203,2599,Weapon,
1,4,498,317,262,Weapon,
90,132,282,253,276,Weapon,
11,1,446,260,1084,Weapon,
88,196,180,271,510,Weapon,
7,57,484,325,538,Weapon,
2,1,157,116,1912,Weapon,
13,159,853,796,Sniper_66,Weapon,
2,2,155,115,1906,Weapon,
23,28,1258,619,SMG_97,Weapon,
3,14,279,227,Handgun_46,Weapon,
95,44,366,281,Handgun_46,Weapon,
209,100,483,377,Handgun_46,Weapon,
405,206,597,458,Handgun_46,Weapon,
3,3,154,118,1537,Weapon,
190,82,477,304,1251,Weapon,
3,29,294,188,2758,Weapon,
5,5,284,159,2980,Weapon,
7,3,257,194,2994,Weapon,
23,174,223,471,909,Weapon,
260,355,552,666,909,Weapon,
48,52,100,83,1245,Weapon,
3,2,157,115,1523,Weapon,
173,172,205,342,2002,Weapon,
44,19,259,99,2764,Weapon,
132,84,219,131,921,Weapon,
372,179,486,278,935,Weapon,
64,108,192,215,1279,Weapon,
5,44,290,182,2770,Weapon,
151,71,218,127,2016,Weapon,
420,356,490,409,2016,Weapon,
493,82,540,132,2016,Weapon,
108,98,1143,290,Shotgun_10,Weapon,
81,43,107,98,2943,Weapon,
223,190,247,228,1292,Weapon,
70,157,315,382,706,Weapon,
141,27,400,197,706,Weapon,
16,26,474,343,712,Weapon,
80,24,110,96,1286,Weapon,
21,37,420,290,2957,Weapon,
15,14,209,704,Sword_17,Weapon,
215,14,304,695,Sword_17,Weapon,
323,13,470,702,Sword_17,Weapon,
474,14,615,721,Sword_17,Weapon,
606,0,718,712,Sword_17,Weapon,
6,1,154,115,1443,Weapon,
66,55,112,173,29,Weapon,
1,3,157,116,1325,Weapon,
40,39,217,99,869,Weapon,
132,37,415,214,2638,Weapon,
487,121,635,336,2638,Weapon,
3,3,154,115,1331,Weapon,
5,2,157,116,1457,Weapon,
25,24,734,477,2176,Weapon,
22,15,1211,768,2610,Weapon,
56,21,117,86,15,Weapon,
2,1,158,114,1319,Weapon,
28,43,336,243,855,Weapon,
207,115,254,159,699,Weapon,
23,55,486,281,841,Weapon,
80,136,640,481,2604,Weapon,
31,9,1018,809,2162,Weapon,
442,688,585,799,1480,Weapon,
239,51,1027,667,114,Weapon,
6,53,147,150,2189,Weapon,
29,57,115,159,2837,Weapon,
53,47,231,456,672,Weapon,
1,97,499,375,666,Weapon,
1,0,500,209,666,Weapon,
91,121,144,258,2823,Weapon,
783,633,2056,1147,100,Weapon,
2,1,157,118,1494,Weapon,
389,72,502,269,128,Weapon,
513,190,571,249,896,Weapon,
80,121,1315,1001,882,Weapon,
45,98,687,494,1127,Weapon,
4,3,158,112,1641,Weapon,
2,2,157,116,1899,Weapon,
231,107,711,835,2348,Weapon,
4,3,157,115,1655,Weapon,
92,213,454,456,Grenade Launcher_48,Weapon,
1,2,226,165,1133,Weapon,
334,8,534,147,1133,Weapon,
339,333,1973,1460,Grenade Launcher_60,Weapon,
351,106,821,329,2412,Weapon,
137,530,226,643,2374,Weapon,
10,4,371,253,1669,Weapon,
293,443,378,623,2360,Weapon,
351,139,596,682,2406,Weapon,
116,78,1131,664,Grenade Launcher_74,Weapon,
196,169,339,246,470,Weapon,
171,69,277,234,316,Weapon,
1,1,155,113,1682,Weapon,
11,1,895,346,Automatic Rifle_18,Weapon,
7,0,148,110,1696,Weapon,
143,68,191,107,302,Weapon,
13,153,408,214,Knife_74,Weapon,
21,67,438,276,464,Weapon,
1,1,156,116,1866,Weapon,
30,141,233,370,Knife_48,Weapon,
75,29,402,359,Knife_48,Weapon,
1,1,157,118,1872,Weapon,
53,96,739,285,Automatic Rifle_24,Weapon,
69,315,741,500,Automatic Rifle_24,Weapon,
182,130,263,191,458,Weapon,
73,207,480,320,Automatic Rifle_25,Weapon,
3,139,39,196,Automatic Rifle_25,Weapon,
226,122,265,179,Automatic Rifle_25,Weapon,
268,96,313,160,Automatic Rifle_25,Weapon,
2,1,155,116,1873,Weapon,
430,101,567,338,Knife_49,Weapon,
348,26,457,340,Knife_49,Weapon,
233,13,375,340,Knife_49,Weapon,
102,9,264,347,Knife_49,Weapon,
60,19,430,375,459,Weapon,
1,1,157,119,1867,Weapon,
49,181,354,373,303,Weapon,
16,33,154,112,1697,Weapon,
334,146,384,227,465,Weapon,
22,153,233,246,471,Weapon,
265,136,478,247,471,Weapon,
6,1,157,113,1683,Weapon,
30,141,239,230,317,Weapon,
18,100,998,442,Knife_61,Weapon,
309,212,509,562,2361,Weapon,
243,80,293,111,1668,Weapon,
171,78,498,581,2407,Weapon,
303,123,803,853,2413,Weapon,
0,1,1097,326,Grenade Launcher_61,Weapon,
391,610,647,823,2375,Weapon,
2,3,157,116,1654,Weapon,
226,660,603,1451,1132,Weapon,
242,37,739,430,Grenade Launcher_49,Weapon,
42,113,108,263,1126,Weapon,
440,143,852,450,2349,Weapon,
1,3,157,114,1898,Weapon,
5,6,152,112,1640,Weapon,
408,45,1240,883,883,Weapon,
16,9,551,349,129,Weapon,
205,170,238,270,897,Weapon,
64,44,203,136,2822,Weapon,
6,60,182,275,667,Weapon,
1,1,157,119,1495,Weapon,
241,94,713,469,101,Weapon,
114,31,142,56,2188,Weapon,
12,8,588,394,115,Weapon,
2,2,154,116,1481,Weapon,
28,34,461,326,673,Weapon,
89,30,137,165,2836,Weapon,
308,179,366,296,2605,Weapon,
8,2,449,325,840,Weapon,
76,50,383,261,698,Weapon,
23,78,396,340,2163,Weapon,
90,148,271,250,2177,Weapon,
32,9,459,344,854,Weapon,
22,2,157,95,1318,Weapon,
141,195,341,447,14,Weapon,
141,114,2547,1696,2611,Weapon,
3,1,156,114,1330,Weapon,
279,123,549,270,2639,Weapon,
7,1,154,119,1456,Weapon,
4,1,157,118,1442,Weapon,
72,36,362,261,868,Weapon,
1,263,495,688,1324,Weapon,
79,101,101,109,28,Weapon,
27,135,1240,688,Shotgun_39,Weapon,
66,68,242,157,2956,Weapon,
56,31,307,200,1287,Weapon,
435,518,513,704,713,Weapon,
20,7,1417,230,Shotgun_11,Weapon,
515,117,1867,340,Shotgun_11,Weapon,
35,327,1402,576,Shotgun_11,Weapon,
485,453,1887,667,Shotgun_11,Weapon,
24,665,1404,915,Shotgun_11,Weapon,
499,831,1897,1076,Shotgun_11,Weapon,
91,54,374,259,707,Weapon,
2388,1012,2838,1452,1293,Weapon,
52,59,101,103,2942,Weapon,
84,50,210,118,2771,Weapon,
461,77,567,150,1278,Weapon,
152,40,384,420,934,Weapon,
237,327,407,504,2017,Weapon,
180,164,222,219,2003,Weapon,
126,106,158,134,920,Weapon,
8,11,283,173,2765,Weapon,
517,62,831,231,1244,Weapon,
158,385,249,481,908,Weapon,
103,68,239,146,2995,Weapon,
5,1,159,115,1522,Weapon,
4,15,158,112,1536,Weapon,
14,80,79,115,2981,Weapon,
95,78,158,118,2981,Weapon,
180,79,240,120,2981,Weapon,
16,7,282,168,2759,Weapon,
8,106,78,193,1250,Weapon,
1,1,155,115,1907,Weapon,
224,605,1578,938,Sniper_73,Weapon,
7,460,1391,1002,SMG_96,Weapon,
16,14,227,117,539,Weapon,
635,110,762,230,SMG_82,Weapon,
22,294,300,407,SMG_82,Weapon,
6,94,256,211,SMG_82,Weapon,
518,294,790,407,SMG_82,Weapon,
27,133,1030,563,Sniper_67,Weapon,
509,578,843,914,1913,Weapon,
151,1,999,744,277,Weapon,
31,88,463,259,511,Weapon,
76,6,1009,726,1085,Weapon,
180,126,257,182,2598,Weapon,
183,285,1298,870,1091,Weapon,
33,127,174,249,505,Weapon,
300,67,363,119,263,Weapon,
263,78,317,133,2215,Weapon,
98,78,920,248,Bazooka_32,Weapon,
100,305,908,534,Bazooka_32,Weapon,
8,12,490,282,288,Weapon,
792,420,2007,1797,2573,Weapon,
166,128,808,602,Handgun_84,Weapon,
32,217,3778,1867,SMG_41,Weapon,
130,95,1435,791,2567,Weapon,
28,1,427,336,Handgun_90,Weapon,
233,38,775,438,Handgun_90,Weapon,
7,31,282,192,Bazooka_26,Weapon,
4,1,154,113,1708,Weapon,
225,932,837,1323,2201,Weapon,
913,582,1204,812,2201,Weapon,
1422,533,1637,679,2201,Weapon,
1579,478,1758,602,2201,Weapon,
3,2,152,116,1720,Weapon,
230,105,346,392,2229,Weapon,
1,1,184,141,1046,Weapon,
655,228,1221,647,1052,Weapon,
12,294,1585,717,Automatic Rifle_4,Weapon,
1,3,157,117,1734,Weapon,
165,195,290,287,1044,Weapon,
4,4,155,114,1722,Weapon,
3,2,156,115,1736,Weapon,
14,17,794,232,Automatic Rifle_6,Weapon,
18,247,792,454,Automatic Rifle_6,Weapon,
147,44,259,162,2559,Weapon,
199,100,838,1160,1050,Weapon,
528,134,1628,1058,Handgun_86,Weapon,
11,91,334,250,SMG_57,Weapon,
128,8,453,178,SMG_57,Weapon,
223,57,268,90,2571,Weapon,
265,140,1743,946,1078,Weapon,
242,154,970,392,Bazooka_30,Weapon,
280,75,585,712,2217,Weapon,
34,18,703,385,2203,Weapon,
93,95,492,281,Bazooka_24,Weapon,
204,95,475,195,Bazooka_24,Weapon,
193,190,758,397,SMG_43,Weapon,
153,695,768,1114,2565,Weapon,
0,98,28,153,1087,Weapon,
190,766,248,910,513,Weapon,
23,38,517,377,275,Weapon,
8,11,151,111,1939,Weapon,
72,55,2767,702,Sniper_59,Weapon,
87,803,2726,1615,Sniper_59,Weapon,
48,22,304,212,261,Weapon,
248,103,280,139,507,Weapon,
1,10,640,426,1093,Weapon,
627,356,1592,718,SMG_94,Weapon,
1337,827,1451,893,SMG_94,Weapon,
133,11,820,494,Handgun_45,Weapon,
15,91,81,123,249,Weapon,
1,3,157,115,1905,Weapon,
2,1,158,115,1911,Weapon,
503,577,2991,1467,Sniper_65,Weapon,
5,3,155,72,1520,Weapon,
177,77,455,236,2029,Weapon,
89,1,201,81,2997,Weapon,
1,3,608,267,1246,Weapon,
82,170,216,276,1252,Weapon,
15,15,258,152,2983,Weapon,
2,1,159,115,1534,Weapon,
204,43,429,357,2015,Weapon,
211,32,425,125,936,Weapon,
36,51,269,160,2773,Weapon,
17,37,282,135,2767,Weapon,
38,32,703,466,922,Weapon,
7,4,156,117,1508,Weapon,
169,180,992,744,2001,Weapon,
57,11,475,301,711,Weapon,
87,20,1823,1251,1285,Weapon,
257,22,492,1200,Sword_28,Weapon,
26,39,147,134,2954,Weapon,
40,53,118,132,2940,Weapon,
4,9,292,154,2798,Weapon,
355,30,547,186,1291,Weapon,
25,16,473,245,705,Weapon,
25,89,1019,514,Shotgun_13,Weapon,
113,4,985,892,Sword_14,Weapon,
33,725,813,912,Sword_14,Weapon,
53,553,523,639,Sword_14,Weapon,
150,41,329,124,2968,Weapon,
249,149,287,185,739,Weapon,
2,3,159,118,1454,Weapon,
3,1,152,111,1332,Weapon,
3,1,157,117,1326,Weapon,
242,12,1207,717,2149,Weapon,
2,1,157,119,1440,Weapon,
234,115,3097,1451,2161,Weapon,
5,4,155,116,1468,Weapon,
51,72,345,301,842,Weapon,
286,49,842,432,2607,Weapon,
62,16,1280,713,2613,Weapon,
27,18,210,119,16,Weapon,
2,2,400,229,856,Weapon,
41,17,584,577,2175,Weapon,
531,448,1101,693,103,Weapon,
1,1,157,120,1497,Weapon,
187,26,217,48,665,Weapon,
23,66,559,345,2820,Weapon,
145,50,237,120,2834,Weapon,
3,17,488,219,671,Weapon,
4,1,151,116,1483,Weapon,
171,84,1315,460,117,Weapon,
97,19,160,49,881,Weapon,
151,53,317,268,659,Weapon,
245,125,409,346,659,Weapon,
401,168,495,277,895,Weapon,
38,64,214,168,2808,Weapon,
1439,233,1953,656,1130,Weapon,
7,50,217,200,2439,Weapon,
1,1,157,116,1656,Weapon,
1,1,157,119,1642,Weapon,
272,181,658,361,1124,Weapon,
258,392,396,458,2405,Weapon,
33,7,225,500,498,Weapon,
542,272,682,390,2363,Weapon,
25,463,1182,715,Knife_88,Weapon,
63,283,180,378,2377,Weapon,
543,7,890,532,Grenade Launcher_63,Weapon,
38,56,273,210,1118,Weapon,
286,246,486,562,2411,Weapon,
270,152,307,228,467,Weapon,
44,198,1832,721,Grenade Launcher_88,Weapon,
1,4,155,115,1695,Weapon,
94,25,206,286,301,Weapon,
303,119,382,259,301,Weapon,
754,779,5103,3173,Knife_77,Weapon,
309,162,590,401,2388,Weapon,
1,3,158,115,1859,Weapon,
83,98,370,237,315,Weapon,
3,2,154,113,1681,Weapon,
46,38,455,307,473,Weapon,
1,2,157,118,1871,Weapon,
22,38,865,335,Automatic Rifle_27,Weapon,
1,3,157,115,1865,Weapon,
24,316,1472,1258,Automatic Rifle_33,Weapon,
74,15,436,241,329,Weapon,
